#Table1
objID,ra,dec,psfmag_u,psfmag_g,psfmag_r,psfmag_i,psfmag_z
1237660613977964658,179.888598245716,9.95572287968547,21.6484,19.42045,18.24132,17.72423,17.46046
1237660613977899515,179.739870026097,9.7783667453536,22.73812,22.12341,20.9781,20.39073,20.43879
1237660613977833673,179.615995325715,9.86805187651923,21.94848,19.72454,18.61408,18.18697,17.95069
1237660613977834111,179.616876263823,9.78541719229348,25.26704,22.29762,21.11076,20.63143,19.79479
1237658492816064925,179.583712399275,10.0027368596767,25.23637,22.55546,21.30954,20.81901,20.46497
1237660613977899160,179.756828503963,9.87156590304474,21.81442,19.17414,17.99306,17.49601,17.26581
1237660613978030293,179.961978883932,9.95108899998035,26.04412,22.24667,21.10969,20.61483,20.30229
1237660613977833707,179.537539750732,9.88298783549963,23.97967,20.21622,19.04538,18.58673,18.2787
1237658492816196156,179.911676037113,10.1310762721058,24.03535,21.33271,20.13297,19.61087,19.32439
1237660613977833710,179.577320488407,9.7514993806331,22.47367,20.02921,18.84551,18.32078,17.99562
1237660613977834140,179.629841926274,9.78891919410975,24.64987,22.38605,21.25734,20.83642,20.39536
1237658492816130122,179.729546281287,10.0867356479106,22.18615,20.05818,18.88118,18.31614,18.05166
1237658492816130438,179.731319095864,10.0059935992191,23.96186,21.2002,20.03687,19.47453,19.21678
1237658492816196298,179.963110539217,9.98116199606052,23.4384,21.63503,20.395,19.93587,19.78398
1237660614514704713,179.529453872043,10.2215822914274,23.62585,20.67598,19.48519,19.0304,18.8044
1237658492816195854,179.899575859463,9.9933483191574,23.50147,20.75702,19.5358,19.07049,18.80094
1237658492816130256,179.819088100744,9.97264801825426,22.61555,20.50055,19.39058,18.95435,18.70581
1237660613977834001,179.563237409119,9.85052645066943,24.42131,21.79368,20.58162,20.04355,19.7318
1237658492279324743,179.895051277647,9.7428019275539,21.71314,19.21871,18.09092,17.5498,17.27445
1237660613978030309,179.970385415957,9.86449253887357,22.84377,20.97498,19.74044,19.21362,18.90746
1237660613977833637,179.589382432207,9.93893942568536,21.46207,18.92258,17.65293,17.21041,16.87935
1237658492816130505,179.758860062396,10.145447750208,24.29377,22.47102,21.19994,20.74379,20.87222
1237658492816130243,179.759946307285,10.079424678166,24.73054,20.20528,19.03688,18.53334,18.29615
1237660613977964840,179.826490813803,9.77778506655592,25.49057,22.04813,20.92223,20.34906,20.0302
1237660614514835764,179.827781515723,10.177749371968,23.11469,21.0286,19.86992,19.37021,19.15497
1237658492816064584,179.572881378679,10.1335961800607,22.80236,20.22934,19.0205,18.5183,18.26405
1237658492816064726,179.573110389317,9.99868363608135,22.51111,20.7714,19.54564,19.12385,18.80984
1237658492816130687,179.831528808981,10.0558334658867,22.60863,21.52711,20.41471,20.00144,19.76098
1237658492816064753,179.603867572471,9.99334011223741,23.76028,20.99434,19.78894,19.19194,18.85922
1237660613977899523,179.747904475198,9.75512845621883,22.22232,20.6684,19.46301,18.86886,18.59772
1237658492816065065,179.633605233025,10.0970192636814,24.33359,21.81037,20.53364,20.00487,19.64714
1237658492816130233,179.738105079869,9.98709984589886,24.54068,20.5363,19.35102,18.85197,18.5348
1237660613977964883,179.844169280219,9.79628511200458,23.66227,21.736,20.46296,19.89862,19.46514
1237660614514901115,179.991380938743,10.1896563290635,23.02351,20.52548,19.30066,18.76904,18.4675

